DATE,A,C
10/11/2014,-0.0013,0.0085
07/11/2014,0.0056,-0.0099
06/11/2014,-0.0049,-0.0073
05/11/2014,0.0085,0.026
04/11/2014,0.0033,-0.0224
03/11/2014,-0.0012,-0.021
31/10/2014,0.0189,0.0307
30/10/2014,0.009,0.0019
29/10/2014,-0.0003,-0.0164
28/10/2014,0.0084,0.0235
27/10/2014,0.0141,-0.024
24/10/2014,-0.0025,0.0031
23/10/2014,-0.0066,0.0088
22/10/2014,0.0019,0.0109
21/10/2014,-0.0045,0.0279
20/10/2014,-0.0007,-0.0086
17/10/2014,0.0036,0.0342
16/10/2014,0.0074,-0.0121
15/10/2014,-0.0021,-0.0444
14/10/2014,-0.0037,0.0009
13/10/2014,-0.0076,-0.0032
10/10/2014,-0.0084,-0.0094
09/10/2014,0.0124,-0.0134
08/10/2014,-0.002,-0.0064
07/10/2014,-0.0028,-0.0173
06/10/2014,0.0055,-0.004
03/10/2014,0.0069,0.0154
02/10/2014,-0.0013,-0.0392
01/10/2014,-0.0043,-0.0089
30/09/2014,0.0038,0.0178
29/09/2014,0.0013,-0.0129
26/09/2014,-0.0002,0.0188
25/09/2014,-0.0005,-0.0135
24/09/2014,0.001,0.0167
23/09/2014,-0.0014,-0.0156
22/09/2014,-0.0076,-0.0143
19/09/2014,0.0108,-0.0074
18/09/2014,0.0005,0.0008
17/09/2014,0.0042,0.0155
16/09/2014,-0.0002,-0.003
15/09/2014,-0.0044,-0.0104
12/09/2014,0.0012,-0.001
11/09/2014,0.0044,-0.0023
10/09/2014,-0.0016,-0.0004
09/09/2014,-0.0007,-0.0068
08/09/2014,0.0013,-0.0047
05/09/2014,-0.0022,-0.0011
04/09/2014,-0.0042,0.0282
03/09/2014,0.0051,0.0189
02/09/2014,0.0029,0.0049
01/09/2014,0.0032,-0.0051
29/08/2014,0.0031,0.0054
28/08/2014,-0.0044,-0.0203
27/08/2014,-0.0009,0.0057
26/08/2014,-0.0016,0.0133
25/08/2014,0.0099,0.023
22/08/2014,-0.0033,-0.0046
21/08/2014,0.0008,0.0206
20/08/2014,-0.0026,-0.002
19/08/2014,0.0025,0.0002
18/08/2014,0.0054,0.0082
14/08/2014,-0.0057,-0.0029
13/08/2014,0.0058,0.0062
12/08/2014,-0.0025,-0.0023
11/08/2014,0.0114,0.0139
08/08/2014,-0.0112,0.0033
07/08/2014,-0.0009,-0.0194
06/08/2014,-0.0087,-0.027
05/08/2014,0.0041,-0.0162
04/08/2014,0.0071,0.0009
01/08/2014,-0.0011,-0.0101
31/07/2014,0.002,-0.0152
